iteration,penguin,length
1,0,664731.14
1,12,660556.45
1,8,660067.75
1,4,663425.02
1,1,660112.60
1,13,659618.07
1,9,660116.50
1,5,660718.70
1,2,662618.00
1,10,660116.23
1,14,662076.65
1,6,662087.12
1,3,660769.51
1,11,661855.23
1,15,658751.63
1,7,660565.24
2,0,660491.44
2,8,655328.75
2,12,663744.41
2,4,662009.64
2,9,663897.02
2,1,658981.61
2,13,660604.40
2,5,659685.63
2,10,658244.10
2,2,661605.42
2,14,658132.13
2,6,662802.55
2,11,659156.12
2,3,661247.18
2,15,658255.86
2,7,657687.00
3,12,658301.62
3,8,660820.53
3,0,655614.14
3,4,663209.09
3,13,661141.58
3,9,658414.82
3,5,657726.92
3,14,660365.61
3,10,659206.22
3,1,658173.10
3,6,656102.45
3,15,661119.22
3,11,665911.67
3,2,661590.18
3,7,660471.74
3,3,664431.41
4,8,664992.80
4,12,664085.57
4,0,658981.56
4,4,656046.34
4,9,660326.37
4,13,662141.82
4,1,661982.39
4,5,656343.49
4,10,659124.82
4,14,662389.66
4,2,659312.24
4,6,659348.37
4,11,657020.90
4,15,653099.95
4,3,661980.27
4,7,662629.43
5,8,662868.60
5,12,660007.98
5,0,663202.83
5,4,661383.27
5,9,662254.58
5,13,657211.92
5,1,661228.56
5,5,663942.93
5,10,657112.68
5,14,662208.25
5,2,660893.26
5,6,656149.96
5,11,656137.04
5,15,656804.34
5,3,663314.02
5,7,663171.61
6,12,657537.13
6,4,657608.35
6,8,661683.29
6,0,660231.07
6,13,663858.07
6,5,655771.06
6,9,661070.03
6,1,661998.26
6,14,662897.81
6,6,660409.77
6,10,656940.65
6,2,659126.10
6,15,656419.90
6,7,655427.22
6,11,659374.60
6,3,662175.27
7,8,657512.75
7,12,658534.06
7,0,660374.08
7,4,663678.54
7,9,657610.72
7,13,660723.15
7,5,657312.47
7,10,657267.29
7,1,657516.05
7,14,660337.16
7,6,661390.63
7,11,660165.97
7,2,658981.35
7,15,655942.56
7,7,658949.99
7,3,662071.26
8,8,660736.79
8,12,660652.80
8,4,665466.75
8,0,661480.00
8,9,657213.57
8,13,662524.13
8,5,660811.44
8,1,659209.36
8,10,655680.07
8,14,662039.22
8,6,659726.16
8,2,659026.89
8,11,658017.51
8,15,653663.01
8,7,653742.93
8,3,655457.92
9,8,662757.20
9,12,660329.24
9,4,661166.66
9,0,660432.55
9,9,662009.88
9,13,662602.21
9,5,658424.59
9,1,662282.76
9,10,657494.81
9,14,657360.02
9,6,656804.00
9,2,661556.11
9,11,662276.22
9,15,654427.84
9,7,660763.45
9,3,660742.56
10,8,662716.29
10,0,661785.84
10,4,657331.14
10,12,662815.57
10,9,661958.66
10,1,658026.26
10,5,660099.70
10,13,661757.33
10,10,661095.30
10,2,662412.76
10,6,658659.77
10,14,657467.39
10,11,660189.70
10,3,656774.81
10,7,660809.80
10,15,656456.16
11,8,659750.20
11,12,655905.40
11,0,659968.84
11,4,661796.70
11,9,660741.87
11,13,662994.14
11,1,653952.73
11,5,657120.90
11,10,662674.50
11,14,658623.57
11,2,657615.95
11,6,659262.79
11,11,654041.14
11,15,654953.48
11,3,660477.58
11,7,657840.27
12,8,663769.11
12,0,656456.05
12,12,657893.96
12,4,659844.82
12,9,658436.16
12,1,655784.69
12,13,658116.28
12,5,659551.03
12,10,656491.87
12,2,658553.20
12,14,661206.40
12,6,659531.20
12,11,658901.58
12,3,656572.21
12,15,656072.95
12,7,659759.86
13,8,655504.05
13,12,660359.69
13,0,657311.34
13,4,656746.24
13,9,661169.50
13,13,657214.45
13,1,658329.97
13,5,658477.27
13,10,658718.99
13,14,659027.09
13,2,656689.16
13,6,657875.84
13,11,657158.02
13,15,659482.20
13,3,661217.89
13,7,661608.79
14,4,663246.47
14,0,651464.51
14,8,663626.48
14,12,662035.00
14,5,658212.60
14,1,656755.27
14,9,661336.60
14,13,658068.58
