iterazione,pinguino,lunghezza
1,0,797239.25
1,1,790928.78
1,2,797835.02
2,0,798416.79
2,1,796819.78
2,2,795826.03
3,0,794204.93
3,1,791845.60
3,2,793701.90
4,0,795317.88
4,1,789934.99
4,2,796786.07
5,0,792527.34
5,1,796496.63
5,2,795821.45
6,0,790265.44
6,1,792483.15
6,2,794233.24
7,0,790489.13
7,1,793010.81
7,2,799095.93
8,0,792447.83
8,1,790022.70
8,2,794578.98
9,0,788687.77
9,1,794316.79
9,2,790602.08
10,0,793202.47
10,1,794821.14
10,2,793655.83
11,0,791056.27
11,1,795725.47
11,2,793506.36
12,0,792184.32
12,1,797010.36
12,2,792122.01
13,0,792383.17
13,1,790720.99
13,2,793199.49
14,0,791801.43
14,1,793871.91
14,2,785957.71
15,0,791814.94
15,1,795176.02
15,2,791017.98
16,0,791782.25
16,1,790284.43
16,2,790138.05
17,0,790135.20
17,1,791336.15
17,2,791165.07
18,0,797577.20
18,1,792584.45
18,2,790633.08
19,0,792571.24
19,1,787507.74
19,2,788614.51
20,0,787659.76
20,1,790890.59
20,2,790181.90
21,0,792091.54
21,1,790468.64
21,2,794001.80
22,0,792544.97
22,1,793001.39
22,2,799679.25
23,0,792143.11
23,1,793097.52
23,2,791551.40
24,0,793111.38
24,1,791893.66
24,2,793568.05
25,0,790193.83
25,1,794423.41
25,2,795960.44
26,0,790862.03
26,1,790275.41
26,2,790634.27
27,0,790874.68
27,1,794073.72
27,2,792139.73
28,0,785695.87
28,1,787749.42
28,2,792892.28
29,0,787983.77
29,1,794645.61
29,2,790716.95
30,0,792434.79
30,1,793224.94
30,2,793804.01
31,0,794790.27
31,1,790587.95
31,2,796072.09
32,0,794257.65
32,1,789739.15
32,2,789929.51
33,0,793691.44
33,1,790203.48
33,2,789073.47
34,0,797300.35
34,1,790146.97
34,2,791347.65
35,0,793336.85
35,1,791525.31
35,2,787962.33
36,0,787177.00
36,1,786751.80
36,2,788037.23
37,0,791412.43
37,1,788497.81
37,2,788055.94
38,0,788524.62
38,1,793131.73
38,2,796019.13
39,0,792163.83
39,1,791253.01
39,2,787522.11
40,0,786714.97
40,1,791564.23
40,2,787783.81
41,0,786543.36
41,1,784579.47
41,2,792732.33
42,0,786996.55
42,1,791077.42
42,2,788586.76
43,0,788556.87
43,1,789973.04
43,2,791676.51
44,0,787630.13
44,1,787908.07
44,2,791639.66
45,0,790253.27
45,1,790372.39
45,2,790207.73
46,0,789156.17
46,1,790719.05
46,2,789253.33
47,0,787429.00
47,1,791275.50
47,2,789883.25
48,0,788214.09
48,1,786827.17
48,2,794211.38
49,0,794135.18
49,1,788495.51
49,2,790560.24
50,0,788367.21
50,1,786745.09
50,2,794125.76
51,0,787789.29
51,1,789895.83
51,2,791173.85
52,0,790138.29
52,1,789061.25
52,2,787396.76
53,0,777582.21
53,1,787224.42
53,2,781366.15
54,0,779416.71
54,1,776905.84
54,2,782104.45
55,0,768130.65
55,1,765546.03
55,2,771660.05
56,0,744848.76
56,1,748704.07
56,2,756678.03
57,0,729299.61
57,1,715846.79
57,2,721104.26
58,0,688451.41
58,1,715846.79
58,2,697879.89
59,0,655653.79
59,1,649050.09
59,2,642216.95
60,0,597414.77
60,1,593516.72
60,2,587961.61
61,0,537322.77
61,1,551186.94
61,2,587961.61
62,0,507171.05
62,1,482689.64
62,2,478568.98
63,0,437415.60
63,1,436974.59
63,2,426440.80
64,0,380063.92
64,1,399987.43
64,2,389073.44
65,0,358710.29
65,1,346222.38
65,2,328608.96
66,0,298435.87
66,1,303706.26
66,2,294885.84
67,0,262354.24
67,1,278744.06
67,2,268594.70
68,0,246684.49
68,1,237108.76
68,2,228583.97
69,0,206775.20
69,1,208552.58
69,2,204890.52
70,0,181084.23
70,1,193509.10
70,2,184363.94
71,0,168981.26
71,1,164221.61
71,2,155955.22
72,0,140122.20
72,1,143616.79
72,2,138695.00
73,0,121648.70
73,1,128269.40
73,2,125067.64
74,0,112678.05
74,1,108506.34
74,2,104990.50
75,0,93403.87
75,1,94972.20
75,2,95029.07
76,0,86159.78
76,1,82685.26
76,2,78856.77
77,0,71179.70
77,1,71182.80
77,2,68829.42
78,0,61300.58
78,1,64329.51
78,2,61678.59
79,0,56155.29
79,1,54566.80
79,2,52381.87
80,0,48033.83
80,1,47383.72
80,2,46887.35
81,0,39815.30
81,1,43665.93
81,2,42172.40
82,0,37409.41
82,1,36364.76
82,2,34171.22
83,0,31324.57
83,1,30886.46
83,2,30176.14
84,0,26975.13
84,1,27817.35
84,2,26611.14
85,0,22211.81
85,1,24551.32
85,2,23609.27
86,0,21628.51
86,1,20258.23
86,2,19155.47
87,0,17256.94
87,1,17554.44
87,2,17422.60
88,0,16267.39
88,1,15251.54
88,2,14349.48
89,0,13231.43
89,1,13603.26
89,2,13300.74
90,0,11227.49
90,1,12111.41
90,2,11819.92
91,0,9926.18
91,1,9539.70
91,2,9500.67
92,0,8236.87
92,1,8011.55
92,2,7955.65
93,0,7032.99
93,1,7451.78
93,2,7201.07
94,0,6154.19
94,1,6537.30
94,2,6392.33
95,0,5409.30
95,1,5840.50
95,2,5584.20
96,0,4974.90
96,1,5314.33
96,2,4864.76
97,0,4674.39
97,1,4748.00
97,2,4682.35
98,0,4146.04
98,1,4429.82
98,2,4198.10
99,0,4152.14
99,1,4033.97
99,2,4152.46
100,0,3599.26
100,1,3776.51
100,2,3718.32
101,0,3536.66
101,1,3420.15
101,2,3178.54
102,0,2827.03
102,1,2571.59
102,2,2761.58
