iteration,penguin,length
1,0,802405.14
1,1,797485.33
1,2,799456.56
1,3,794459.03
1,4,795532.17
1,5,799889.81
1,6,794527.26
1,7,795846.92
1,8,797865.95
1,9,793024.74
1,10,799458.86
1,11,799867.88
1,12,795131.41
1,13,794698.05
1,14,795589.63
1,15,797142.65
1,16,795700.24
1,17,798442.51
1,18,797226.72
1,19,796495.01
1,20,797445.36
1,21,795455.48
1,22,796544.33
1,23,800973.26
1,24,799864.17
1,25,790812.27
1,26,797021.84
1,27,798789.14
1,28,795954.83
1,29,798140.10
1,30,797934.11
1,31,797045.38
1,32,801800.54
1,33,799887.86
1,34,794026.77
1,35,798975.40
1,36,797813.21
1,37,798466.41
1,38,796912.62
1,39,793386.02
1,40,795093.07
1,41,796833.05
1,42,797960.48
1,43,801118.02
1,44,795039.58
1,45,797283.45
1,46,799119.05
1,47,795923.51
1,48,798902.70
1,49,793137.10
1,50,797772.18
1,51,796945.29
1,52,796837.02
1,53,796785.61
1,54,799011.62
1,55,796387.95
1,56,795151.94
1,57,794413.00
1,58,796734.57
1,59,796725.83
1,60,793287.53
1,61,793892.00
1,62,797573.14
1,63,798264.01
1,64,794715.23
1,65,797527.35
1,66,796929.03
1,67,798880.31
1,68,790525.75
1,69,794454.00
1,70,797380.60
1,71,798767.40
1,72,796251.38
1,73,795638.76
1,74,798494.53
1,75,800101.34
1,76,793506.52
1,77,797495.57
1,78,800040.28
1,79,797472.61
1,80,793389.36
1,81,790468.25
1,82,794068.26
1,83,796717.79
1,84,795164.41
1,85,793985.03
1,86,797311.99
1,87,796117.49
1,88,799964.34
1,89,797047.73
1,90,797401.21
1,91,799239.32
1,92,792793.24
1,93,796388.97
1,94,792728.77
1,95,794062.25
1,96,791507.47
1,97,793622.70
1,98,796715.17
1,99,794939.31
1,100,792823.50
1,101,797836.67
1,102,796379.65
1,103,793697.53
1,104,800596.72
1,105,798606.60
1,106,792216.15
1,107,795744.12
1,108,796928.31
1,109,797627.13
1,110,794929.50
1,111,795346.67
1,112,799120.79
1,113,795512.64
1,114,793337.39
1,115,802514.63
1,116,793952.48
1,117,798063.60
1,118,800617.26
1,119,794830.32
1,120,794745.01
1,121,790841.29
1,122,796377.79
1,123,795422.43
1,124,795210.76
1,125,796107.97
1,126,792553.16
1,127,795743.31
1,128,796381.69
1,129,794849.93
1,130,800021.65
1,131,798106.20
1,132,792409.18
1,133,798981.72
1,134,795431.02
1,135,796929.01
1,136,798126.44
1,137,798441.86
1,138,793060.14
1,139,794795.87
1,140,800380.19
1,141,797891.43
1,142,796063.47
1,143,799208.11
1,144,799455.50
1,145,794918.48
1,146,797246.25
1,147,797114.94
1,148,794167.69
1,149,794343.97
2,0,793152.14
2,1,794248.07
2,2,791855.65
2,3,794272.82
2,4,793943.44
2,5,789943.60
2,6,798341.26
2,7,797698.39
2,8,795110.30
2,9,799304.51
2,10,793193.90
2,11,793823.41
2,12,799236.77
2,13,793613.23
2,14,792109.79
2,15,788642.24
2,16,793495.37
2,17,790231.54
2,18,794764.03
2,19,795677.58
2,20,795593.82
2,21,794139.96
2,22,795118.88
2,23,794236.31
2,24,798444.06
2,25,790888.36
2,26,795096.07
2,27,796824.51
2,28,796670.07
2,29,800892.65
2,30,796471.43
2,31,800643.48
2,32,788966.31
2,33,790485.87
2,34,800479.48
2,35,791987.24
2,36,793809.46
2,37,793524.18
2,38,791318.56
2,39,796385.45
2,40,789847.57
2,41,798842.53
2,42,792373.20
2,43,795097.29
2,44,797501.05
2,45,798037.71
2,46,792375.09
2,47,792906.21
2,48,792640.92
2,49,789471.24
2,50,792968.90
2,51,791769.99
2,52,798455.24
2,53,792786.12
2,54,793060.60
2,55,793751.51
2,56,798343.48
2,57,793228.81
2,58,794165.83
2,59,793929.91
2,60,791173.67
2,61,794517.38
2,62,790509.02
2,63,794777.07
2,64,790731.85
2,65,797154.03
2,66,791615.00
2,67,796121.26
2,68,794782.92
2,69,798075.62
2,70,796287.95
2,71,794681.53
2,72,796590.62
2,73,795203.90
2,74,795850.19
2,75,792840.47
2,76,796730.63
2,77,794754.68
2,78,793208.26
2,79,796420.25
2,80,793068.22
2,81,790468.25
2,82,794522.24
2,83,790722.77
2,84,794293.46
2,85,790230.17
2,86,793129.37
2,87,798132.61
2,88,792112.56
2,89,799515.91
2,90,798389.17
2,91,796204.01
2,92,794900.03
2,93,791953.81
2,94,794405.96
2,95,795914.59
2,96,793625.91
2,97,795544.43
2,98,790260.13
2,99,796479.27
2,100,793110.50
2,101,795409.31
2,102,795331.68
2,103,793234.86
2,104,790897.91
2,105,796070.69
2,106,794944.36
2,107,791287.41
2,108,794122.95
2,109,791961.47
2,110,793094.25
2,111,791288.52
2,112,796121.09
2,113,798234.11
2,114,797533.17
2,115,793170.99
2,116,790103.58
2,117,794548.45
2,118,794543.22
2,119,796792.84
2,120,795254.19
2,121,790958.63
2,122,794494.07
2,123,798885.90
2,124,796475.92
2,125,795509.15
2,126,793948.15
2,127,794855.99
2,128,797538.01
2,129,800305.79
2,130,796832.29
2,131,794786.34
2,132,795921.69
2,133,795903.01
2,134,797066.26
2,135,796779.71
2,136,795037.01
2,137,793662.78
2,138,789473.68
2,139,798905.70
2,140,789830.83
2,141,790848.80
2,142,790541.74
2,143,796078.67
2,144,792480.54
2,145,787434.09
2,146,793097.98
2,147,792946.00
2,148,790417.89
2,149,797881.89
3,0,789187.74
3,1,792526.90
3,2,795332.09
3,3,797122.37
3,4,793522.91
3,5,797538.50
3,6,793977.06
3,7,790918.71
3,8,790539.16
3,9,796401.04
3,10,795017.31
3,11,788715.22
3,12,794257.26
3,13,793822.07
3,14,794902.15
3,15,794847.53
3,16,788734.96
3,17,790793.47
3,18,791614.22
3,19,791738.38
3,20,791837.49
3,21,793992.70
3,22,792298.87
3,23,795728.08
3,24,794137.16
3,25,790856.17
3,26,796544.67
3,27,790374.74
3,28,794650.01
3,29,796762.47
3,30,797740.56
3,31,793523.18
3,32,790461.04
3,33,797958.83
3,34,798021.88
3,35,793244.94
3,36,789647.32
3,37,792447.07
3,38,792995.46
3,39,795794.44
3,40,794861.68
3,41,792143.23
3,42,789066.63
3,43,792278.25
3,44,792564.71
3,45,790591.70
3,46,791359.00
3,47,792666.08
3,48,795502.81
3,49,800580.66
3,50,792634.85
3,51,790548.60
3,52,796192.43
3,53,792699.51
3,54,796255.72
3,55,797160.04
3,56,787961.00
3,57,794928.50
3,58,793227.13
3,59,796639.47
3,60,789188.15
3,61,792358.20
3,62,793479.22
3,63,789582.95
3,64,797322.66
3,65,793813.87
3,66,791716.00
3,67,792321.55
