iteration,penguin,length
1,0,265546.47
1,1,263990.50
1,2,267178.35
1,3,263948.20
1,4,264914.14
1,5,262312.67
1,6,265625.31
1,7,263685.65
1,8,264792.52
1,9,266495.12
1,10,265953.65
1,11,263038.43
1,12,266542.75
1,13,264961.62
1,14,266772.20
1,15,263022.57
1,16,263820.71
1,17,265840.71
1,18,264369.42
1,19,266056.04
1,20,264999.70
1,21,263648.90
1,22,266941.82
1,23,266047.51
1,24,265427.49
1,25,264665.34
1,26,264083.43
1,27,264333.63
1,28,262952.87
1,29,266917.70
1,30,265921.64
1,31,263428.85
1,32,266242.44
1,33,265531.49
1,34,264790.00
1,35,265735.46
1,36,264938.12
1,37,263351.45
1,38,265287.22
1,39,263234.12
1,40,263724.60
1,41,266866.00
1,42,265953.06
1,43,265380.81
1,44,265211.61
1,45,266208.75
1,46,264566.34
1,47,264101.27
1,48,264981.02
1,49,264201.54
2,0,264938.27
2,1,264863.89
2,2,261437.97
2,3,266615.71
2,4,263149.12
2,5,262312.67
2,6,262860.35
2,7,264945.52
2,8,263308.88
2,9,262087.54
2,10,263498.64
2,11,263714.94
2,12,266234.47
2,13,266786.83
2,14,263741.96
2,15,265273.01
2,16,267368.94
2,17,265092.00
2,18,264011.64
2,19,262577.60
2,20,262943.27
2,21,263492.32
2,22,263251.16
2,23,261204.32
2,24,263338.23
2,25,264213.66
2,26,264770.39
2,27,264277.50
2,28,263672.59
2,29,262989.72
2,30,264208.70
2,31,264051.52
2,32,265620.79
2,33,263724.31
2,34,264189.80
2,35,266346.31
2,36,265520.87
2,37,265484.61
2,38,263463.50
2,39,265133.40
2,40,263817.80
2,41,262922.35
2,42,268090.83
2,43,264607.03
2,44,265371.54
2,45,263560.63
2,46,266996.48
2,47,264963.86
2,48,262034.22
2,49,265959.15
3,0,262937.61
3,1,261226.32
3,2,263482.44
3,3,262269.48
3,4,265508.88
3,5,263400.62
3,6,263365.87
3,7,261968.18
3,8,264916.37
3,9,263818.73
3,10,263444.44
3,11,263241.21
3,12,262357.17
3,13,264617.58
3,14,264965.07
3,15,261526.77
3,16,263014.27
3,17,264440.90
3,18,263938.01
3,19,264225.52
3,20,264938.57
3,21,260553.49
3,22,264310.06
3,23,261204.32
3,24,265164.36
3,25,261317.95
3,26,264225.59
3,27,263154.86
3,28,264798.94
3,29,264039.12
3,30,261930.26
3,31,261644.65
3,32,265460.63
3,33,262393.92
3,34,266091.89
3,35,262651.96
3,36,263842.03
3,37,266553.55
3,38,264599.66
3,39,263285.36
3,40,264547.82
3,41,264640.89
3,42,266176.25
3,43,263892.52
3,44,265522.46
3,45,263135.55
3,46,265368.13
3,47,263531.61
3,48,261104.88
3,49,264413.51
4,0,262088.99
4,1,263574.08
4,2,265651.70
4,3,264140.97
4,4,262987.72
4,5,263729.30
4,6,261724.27
4,7,265773.24
4,8,261652.73
4,9,264998.74
4,10,264645.50
4,11,262908.18
4,12,259843.93
4,13,266850.10
4,14,264528.39
4,15,262022.50
4,16,261252.79
4,17,268301.74
4,18,266024.71
4,19,265052.96
4,20,263043.32
4,21,260553.49
4,22,263330.92
4,23,266868.47
4,24,264211.09
4,25,263337.91
4,26,262204.64
4,27,262560.44
4,28,263309.90
4,29,266292.90
4,30,260142.04
4,31,261235.63
4,32,265460.56
4,33,263284.00
4,34,264499.08
4,35,263860.45
4,36,262256.77
4,37,262395.33
4,38,264825.87
4,39,262506.79
4,40,262542.26
4,41,263262.22
4,42,265075.44
4,43,263737.93
4,44,266143.07
4,45,265336.58
4,46,260209.09
4,47,263804.32
4,48,262343.31
4,49,262196.32
5,0,260212.01
5,1,263104.62
5,2,260702.24
5,3,264981.50
5,4,262753.63
5,5,261833.21
5,6,262883.64
5,7,262086.66
5,8,260663.48
5,9,262288.24
5,10,261979.37
5,11,263629.72
5,12,259843.93
5,13,263153.77
5,14,262142.28
5,15,261075.38
5,16,262245.98
5,17,264359.83
5,18,262130.13
5,19,265034.44
5,20,263099.31
5,21,264727.07
5,22,263937.83
5,23,261503.37
5,24,266481.02
5,25,261911.47
5,26,265497.96
5,27,262091.31
